bread_1_flour_white.kg,bread_2_cereal.kg,bread_3_rice.kg,bread_4_beans.kg,bread_5_macaroni.kg,bread_6_lavash.kg
240,8,3.33,3.33,13,178.33
120,3.67,1.67,10,10,190
5,1,1.25,1.5,11.25,91.25
1.5,0.6,1,1,3,100
5,8.8,10,2.5,17.5,275
0.5,1.13,0.75,3,4,95
5,1.2,1,1.2,4,73
62.5,0.75,2.5,0.75,3.75,50
56.79,4.29,3.14,2.86,6.43,85.71
300,7.5,12.5,15,20,300
0.83,0.83,0.83,1.67,4.17,56.67
5,5,3.33,3.33,10,333.33
33.33,2.08,1.67,0.83,8.33,79.17
1.25,3.75,3.75,3.75,5,87.5
1,1.5,3,1.5,40,140
1.25,4.25,6.25,3.75,10,150
2.5,2.5,2.5,1.25,2.5,90
2.5,1,2,1.25,6.25,142.5
3.33,2.67,4,3.33,5,250
10,3.33,6.67,3.33,10,233.33
7.5,20,17.5,3.5,20,300
2.5,0.75,2.5,1.25,2.5,75
1,1,1.25,0.75,2,75
7.14,2.86,2.14,2.14,2.86,71.43
5,2.5,7.5,2.5,7.5,150
16.67,0.33,2.5,0.5,2.5,2.26
1.67,2.5,3.33,1.67,5,75
6,1.5,2,3,7.5,75
6.25,7.5,7.5,6.25,7.5,250
1.5,2.5,2,1,4.5,125
5,4.41,11.25,5,10,220
110.15,0.5,2.5,0.25,2.5,87.5
3.75,12.5,7.5,3.75,7.5,187.5
1.5,1.5,12.5,3,15,182.5
10,3.33,13.33,3.33,16.67,166.67
1.17,0.5,0.67,0.33,3.33,53.33
175,3.33,3.33,1.67,1.67,121.67
0.83,1.67,0.83,1.67,3.33,33.33
1.67,1.67,0.83,1.67,4.17,100
15,7.5,7.5,10,20,200
2.5,0.75,2.5,1.25,5,140
266.67,8.33,4,1.33,10,196.33
1,0.4,0.4,0.6,2,30
66.67,1,3.33,3.33,6.67,116.67
20,7.72,7,9,9,274
200,5,3.33,1.67,10,79.82
4,1.6,2.4,4,8,120
180,1.5,2.5,5,15,141.5
150,2.5,7.5,1,12.5,120.84
2.5,4.25,5,3,8.75,150
150,1.5,5,0.75,6.25,156.25
6,0.6,3,1,5,70
150,2.3,3,5,7.5,90
1.25,2.5,3.75,4.5,10,112.5
7.5,4,5.33,5,3.33,100
60,1,1,1,2,127.78
4,1,0.8,0.6,3.6,90
3.75,2.5,6.25,2.5,10,250
0.83,5,5,4.17,6.67,250
1.67,2.67,4.33,7.33,3,66.67
5,5.5,3.75,6.25,15,200
6.25,1.25,0.88,0.75,1.5,40
6,1,3.6,3,7,50
300,10,7.5,4,12.5,346
100,4,5,2,6,66.95
6.67,1.67,2.5,1.67,4.17,63.33
0.75,1.5,1.5,1.5,10,85
1.5,2.5,1.5,1.25,3.75,62.5
6.67,1.33,3.33,1,6.67,150
15,10,10,2.5,10,150
2.5,0.5,0.5,0.5,1.67,71.67
25,5,2,5,10,225
83.33,2.33,3.33,3.33,5,233.33
25,5,5,13,25,350
26,4,8,5,12,50
8,0.6,3,1,5,120
1.67,1,1.33,1.33,3.33,61.67
15,2.08,1.25,0.5,2.5,50
120,4,6,6,10,68.74
1.33,1.67,2.33,2.33,6.67,100
2.5,0.5,1.67,0.83,2.5,83.33
1,0.4,1,0.6,3,30
2.5,1.67,4.17,1.67,10,125
5,0.8,5,0.6,2.4,140
15,10,2.5,1.25,10,150
7.5,1,4,1.5,7.5,180
120,3,3,2,9,77.33
0.5,1.5,1,1,2.5,90
2.5,0.75,2.5,3.75,5,112.5
125,2.5,3.75,1.25,3.75,243.06
3.75,2.5,5,2,12.5,150
2,4.5,2.5,1.25,5,90
6.25,2.44,4.5,2.5,7.5,150
2,3,3,4,4,110
3.33,1,3.33,6.67,13.33,166.67
8.64,9,6,7.5,5,90
12.5,2,5,2,10,230
11.25,5,17.5,10,17.5,200
50,3.33,1,1,3.33,58.15
7.5,2.5,5,2.5,20,400
2,3,1.5,1.5,5,175
66.67,3.33,6.67,8.33,11.67,81.4
1,2.5,1.5,0.75,3.75,100
60,1.24,1,3,2,51.11
80,1,3,2,2,7
10,2,2,2,8,80
60,1.4,0.6,1,2.6,105.56
5,5,5,3.33,6.67,66.67
120,3,3,2,6,87.37
5,2.13,3.6,2,5.2,120
200,12.5,3.33,3.33,13.33,20
0.83,0.33,0.67,1.67,3.33,105
2.86,3.57,2.14,2.14,5.71,85.71
0.25,0.5,1.25,0.75,2.5,57.5
10,4.67,2,1,12,70
60,2,0.6,2,6,86.67
1.4,4,6,0.8,12,180
1,3.04,3,3,8,120
1.9,1.2,2,2.4,6,40
4,0.4,1.2,0.6,3.6,60
150,1.25,1.75,6.25,3.75,1
40,0.2,0.6,0.8,1,1
5,4.4,7.5,7.5,10,300
101.67,7.5,2.5,2.5,10,250
90,0.6,2,0.4,4,90
3.33,4.39,5,1.67,6,83.33
43.33,1,1.67,4.17,1.33,38.89
0.33,0.83,0.5,0.5,3.33,100
3.89,6.67,8,8.33,11.67,200
20,0.4,1,1,1.6,110
4.17,2.5,0.83,1.67,4.17,63.33
1.43,0.57,1.71,0.71,3.57,102.86
110,0.6,3,1,4,117.33
2,3,10,3,10,100
1.67,1.67,1.67,0.5,3.33,60
8.33,1.67,3.33,1.67,3.33,150
3.75,0.75,1.25,0.75,5,137.5
5,5,5,2.5,7.5,100
0.75,0.75,1.25,0.5,2.5,42.5
5,2.5,5,2.5,7.5,97.5
450,10,12.5,20,55,27.25
0.67,0.67,3.33,6,6.67,106.67
5,7.5,5,5,5,40
37.5,1.75,2,2.5,11.25,137.5
1,2.5,2,2,5,200
60,1.3,1,4,2,140
3.75,1.25,5,5,12.5,125
5,1,3.75,0.75,5,112.5
116.67,0.67,2.33,3.33,5,1.67
5,10,1.67,1.67,5,100
0.7,0.8,0.8,0.6,2.4,100
3.33,1.67,5,1.67,8.33,180
0.75,1.75,5,2.5,25,170
141.67,1.67,2,1.67,2,127.78
1.67,1.67,2.33,0.67,4,53.33
3.33,3.33,4.17,5,11.67,133.33
4,6,4,2,17,106
1.67,2.5,1.67,1.67,5,125
75,2.5,5,2.5,5,10
0.33,1.17,0.5,0.5,1.67,38.33
2,1,3,1,4,70
2,0.6,0.8,0.6,4,110
3.33,1.17,1.17,1.17,3.33,123.33
16.67,0.33,0.83,0.83,2.5,150
2.5,7.5,6.25,5,7.5,180
2,0.6,2,1,4,60
90,5,10,12.5,15,140
7.5,6.25,3.75,1.25,7.5,275
1,0.67,1.67,0.67,3.33,60
1,0.4,1,1,4,72
2.5,0.67,1,1,1.67,30
10,6.5,2.5,2.5,12.5,175
1.67,0.83,1.67,1.67,5,60
0.5,0.5,0.5,0.3,0.6,45
1,1.4,1.4,2,5,64
1.33,1.67,1.67,0.67,2.67,58.33
1.67,0.5,0.33,0.5,1.67,30
66.67,1.33,1.33,1.67,1.67,90
0.4,0.4,0.6,0.4,2,30
3,0.5,3,1.5,1.25,136.25
3.75,2.5,3.75,5,10,360
250,0.9,1.67,8.33,10,35
7.5,5,7.5,2.5,12.5,360
2.5,1.25,3.75,0.75,6.25,125
300,20,10,10,5,12
2,3,3.75,1.25,9.5,45
150,1.5,5,1.5,7.5,90
6.25,1.25,3.75,1,6.25,187.5
0.4,1,0.8,0.8,3,98
5,2.5,3.75,7.5,10,150
2.5,2.5,1.25,1.25,6.25,50
1.25,1.5,1.5,1,3.5,200
200,1.5,3,5,10,1.5
8.33,1.67,1.67,1.67,1.67,50
150,5.25,2.5,20,20,12.5
1.5,2,1.5,3,5,65
2.5,1.67,3.33,3.33,10,100
150,2.5,3.75,15,20,225
83.33,0.5,1.5,1.67,2.5,0.33
7.5,5,3.75,2.5,6.25,87.5
12.5,7.5,7.5,2.5,15,350
0.83,0.5,1,1.67,2.5,66.67
5,8.1,15,15,40,400
5,1,3,2,5,120
2.5,2.65,5,5,10,187.5
1.5,2.5,1.5,2.5,6.5,30
3.33,1.17,2,3.33,6.67,100
0.83,0.83,0.83,2,2.67,41.67
110,3.6,3,1.2,4.8,110.64
118,1,7.2,6,8.4,80
4,2,3,2,6,70
1,0.4,2.4,1.2,3,36
2.5,2.5,4.17,1.67,5.83,125
4.17,0.77,4,1.67,4.17,115
51.5,1,2,1.5,5,60
2,0.6,1,1,2,70
1.43,0.71,2.14,0.71,5.71,64.29
6.5,2,2,0.8,4,240
0.83,3.33,4.17,1,16.67,125
2,1,4.17,4.17,5,121.67
0.6,0.6,0.8,1,5,37
2,2,0.6,0.6,2,10
3.57,0.86,3.57,1.43,4.29,121.43
6.67,8.33,4,6.67,15,166.67
6.25,0.75,3.75,1.25,6.25,175
4,2,3,1,4,72
9,2,1.4,1,4,120
5,1.89,2.67,0.83,4.67,50
2.5,1.5,8,3,10,135
1.75,1.25,3.75,0.5,15,137.5
7.5,1.5,2.5,3.75,7.5,125
16.38,5,6,3.5,12.5,325
5,1.67,5,1,5,116.67
5,2,8,6,10,92
5,2,2.5,1,6.25,100
180,5,3,3,10,274.21
10,2,3,1.2,7,140
70,0.83,2,0.83,3.33,97.5
12.5,3.75,3.75,5,2.5,125
62.5,1.5,1.25,0.75,3.75,101.75
2.5,1.25,3.75,2,10,137.5
120,2,2.4,6,6,197.78
75,2.5,2.5,3.75,12.5,75
3.41,3,3.75,0.5,6,75
1.25,1,2.5,1.67,6.67,50
83.33,1.67,1.67,1.67,5,184
50,2.3,1.25,1.25,5,77.21
1.67,0.5,2.67,1,3.33,75
3.13,5,1.5,3.75,2.5,87.5
0.5,0.83,1.67,1.67,5,33.33
2.13,0.5,0.5,0.5,11.88,45
2.5,1.25,3.75,2.5,15,192.5
2.5,2.5,5,5,5,45
6,2,2,3,6,120
1.25,5,5,2.5,8.75,112.5
71.43,1.43,0.86,0.86,2.86,66.71
66.67,1.33,3.33,0.83,3.33,8.33
3.25,1,1.25,1.25,3,45
75,8.75,1.25,1.25,3.75,2.5
1,0.83,1,0.83,1.67,160
5,12.5,6.25,2.5,12.5,250
18.75,3.75,5,6.25,4.5,275
1.25,0.25,1.5,1.25,3.75,45
4,6,8,5,10,220
5,2,7.5,3.5,12.5,400
100,0.5,1.67,1.67,2.5,1.67
150,2.5,12,7.5,20,183.33
162.5,2.5,6.25,1.25,8.75,1
2.82,2.4,4,0.4,3.6,120
2,2.67,3.33,1.33,23.33,250
125,0.5,1.25,1.25,3.75,115
300,2.5,12.5,12.5,5,25
4,2,3,1,5,90
4.55,6.25,6,12.5,5,125
243.75,1,5,1.5,10,150
4,2,2,6.25,5,125
3.57,2.14,2.86,0.71,2.86,71.43
50,0.5,2.5,0.67,4.17,66.67
0.8,1,2,1.2,5,74
4,2,3,1.6,4,90
10.83,0.67,3.33,1,13.33,166.67
5,6.25,6,2.5,7.5,175
3,2,3,2.4,4,160
1.29,0.57,0.29,2,1.71,51.43
4,6,2,2,3.6,114
2,4,5,0.6,14,130
2.86,0.71,2.14,2.14,7.14,42.86
76.25,6.25,1.25,0.5,2,20
5,1.5,5,1.25,10,150
2,0.6,1,2,3,60
0.5,1,2.25,0.75,1.25,100
4,3,3,1.2,7,110
5,0.5,12.5,3.75,15,181.25
4,1.5,1.5,1,3,15
3.57,4.29,3.43,1.71,5.71,102.86
2.86,2.86,2.14,1.43,1.43,107.14
10.5,2.5,2,3,12,112
0.33,0.58,0.5,0.5,2.5,46.67
1.53,5,4.33,3.33,3,100
2.5,2.5,1.25,1,2.5,112.5
120,6,4,4,6,124
3.75,1,2.5,5,7.5,186
5,1.67,2.5,1.67,3.33,66.67
50,3.34,10,3,12.5,150
150,0.75,3.75,1.25,6.25,62.5
4,1,3,2,5,54
3.13,1.06,2.25,1.25,3.25,87.5
3,4,3,3,10,100
116.67,1.67,3.33,10,20,251.11
2.5,0.5,1,1.5,1.75,75
300,2.33,6.67,6.67,10,233.33
2,0.6,3,0.6,4,90
15,7.5,3,5,12.5,280
1.76,4,5,5.2,5.6,120
12.5,12.5,2.5,5,7.5,137.5
4.33,20,10,10,40,160
3.33,2,1.67,2.67,6.67,116.67
6,2,2.4,1.2,7,144
1.67,4.4,6.67,6.67,16.67,216.67
4,1,4,2,6,60
0.75,0.5,2.5,0.5,5,87.5
2.5,1.25,6.25,2.5,17.5,360
2,0.6,2,0.6,4,76
75,0.75,2.5,0.75,6.25,50
10,8.33,1.67,0.83,6.67,66.67
3.57,3.57,2.86,4.29,2.86,107.14
4,5,3,2,12,120
3.75,0.75,1.25,1.25,7.5,137.5
5,0.67,3.33,5,2,40
333.33,5,3.33,3.33,13.33,136.14
1,1,2,1,3,40
5,3.75,3.75,2.5,8.75,150
72,2,1,2,3,64.44
120,2,2,0.8,4,131.9
100,3.33,2.5,1.67,5,108.67
150,0.75,2.5,2.5,3.75,7.5
3.33,2,1.33,3.33,5,122
37.5,2.5,3.75,1.25,5,89.21
75,2.5,2.5,2.5,7.5,173.69
4,2,5,2,10,180
6.25,8.75,1.25,1.25,8.75,137.5
3.33,2.5,2.83,1,5,5
187.5,1.75,3,3.5,2,55.5
75,3.75,5,6.25,7.5,143
10,3,3.6,1.2,6,80
2.5,3.75,2.5,1.25,5,75
1,0.4,2,1.2,4,40
12.5,5,10,7.5,12.5,155
2,4,4,2,2,72
2,0.8,1.6,2,4,60
6,3,3,2,6,70
10,2.5,5,2.5,7.5,87.5
5,6.8,10,10,20,350
10,2.5,3,7.5,15,200
1.25,0.75,2.5,1.25,8.75,187.5
200,13.75,5,2.5,10,20
1.67,0.67,3.33,0.67,8.33,100
1.67,1.08,0.5,0.5,4.17,83.33
1.43,2.14,1.71,2.14,4.29,107.14
0.83,0.67,1.67,0.83,5.83,100
10,3,10,3,5,110
1.75,1.25,5,3,7.5,95
3.33,1,1.33,1.67,1,30
3,6,5,5,8,144
12.5,3.75,5,3.75,12.5,100
225,7.5,5,3.75,10,150
250,7.5,10,10,5,5
60,1,1,0.6,3,63.79
1.67,0.33,4.17,1.67,6.33,63.33
1.25,0.75,2.5,1.75,2,23.75
3.33,3.33,2,1.67,5,123.33
233.33,1.67,8.33,1.67,10,60
1.25,1.75,5,1.5,7.5,150
5,3,5,2,7,140
25,15,7.5,2.5,17.5,275
0.83,2.5,1.67,1,2.5,60
3,2,2.4,1,5.4,144
5,3.33,3.33,1.67,3.33,146.67
3.33,2,3.33,3.33,8.33,266.67
5,1.25,3.75,0.75,7.5,75
5,3.33,2.67,4,10,200
6,4,4,2,8,100
2.5,2.5,2.5,2.5,11.25,150
10,6,3,3,10,270
1.25,0.25,0.63,0.63,1.88,62.5
6,1.6,3.6,2,5,110
150,3.75,1.25,1.5,12.5,300
75,0.75,1.25,1.25,5,147.37
8.33,2.33,2.67,5,13.33,190
5,5,2.5,1.25,5,90
7.33,4,3.33,1.67,6.67,133.33
1.67,0.67,0.83,1.67,3.33,50
150,3.06,1,2.5,10,217.78
8,0.6,3,1,3,100
5,3,5,2.5,15,150
3.33,0.83,2.5,1.67,3.33,46.67
300,3.5,2.5,1,7.5,190
5,3.33,1.67,5,8.33,176.67
0.75,0.75,2.5,1,3.75,50
3,0.8,4,0.6,3,65
1.25,1.25,1.25,1.25,5,25
3,2,3.6,2,5,100
8.33,1.67,3.33,0.83,3.33,50
3.75,2.5,3,2.5,6.25,187.5
30,0.84,2.4,0.6,2.4,36
125,6.25,5,3.75,7.5,107.63
3.75,1.25,1,0.25,0.5,25
1.67,1.23,2.5,0.83,3,41.67
10,4,2,2,1,120
0.5,0.33,0.5,0.5,2.5,63.33
10,3.87,6.67,5,21.67,266.67
1.3,1,0.4,0.4,2.4,72
2.5,1,0.5,1.5,5,75
125,5,2.5,1.75,3.75,34
4,10,4,6,4,108
7.14,1.43,2.14,2.86,7.14,71.43
1.67,2.83,3.33,1.67,6.67,91.67
0.75,1.25,3.75,0.75,12.5,50
120,0.6,1.2,2,3,74
3.13,3.75,3.75,2.5,4.38,87.5
5,1.67,5,1.67,8.33,125
6.67,3.33,6.67,5,10,133.33
2,2,0.4,0.4,2.4,72
6.25,7.5,5,3.75,7.5,137.5
5,2,5,4,12.5,185
8.33,3.33,3.33,3.33,6.67,133.33
1.67,0.67,1.67,1.33,4.17,62.5
100,2.33,5,3.33,16.67,83.33
50,2.14,0.71,0.71,2.86,63
0.56,1.67,3.33,2.22,2.22,66.67
2.5,1.25,2.5,2.5,3.75,90
2.83,4.67,6,4,6.67,150
120,18,4,5,7,172.63
1.67,1.67,3.33,5,6.67,300
1,2.4,3,1,3,18.2
3.33,3.33,5,3.33,11.67,150
6.25,2.5,1.5,2.5,3.75,87.5
1,1,2,1,4,36
8,2,4,2,4,112
0.6,3,2.4,3,12,100
3.75,3.63,6.25,2.5,10,175
0.17,0.5,0.5,0.5,1.67,50
1,0.4,1,0.6,2,20
4.29,1.43,2.14,0.86,4.29,57.14
2,1,2,0.6,2,40
3.75,1.25,2,0.75,2.5,37.5
0.86,2.14,2.86,0.57,8.57,78.57
100,3.3,1.67,5,5,120
1,1,1,0.8,2,30
1.67,1.67,0.83,0.33,1.67,56.67
5,1.33,2.67,2,6.33,133.33
0.43,0.29,1.43,1.43,2.86,78.57
5,2.5,3.75,3.75,12.5,125
5,1,1,0.75,3.75,85
1.67,2.5,3.33,2.5,6.67,75
300,1.67,1.25,5,5,118.33
0.4,0.67,0.4,0.4,3,80
12.5,5,7.5,2,7.5,325
6.25,1.5,2.5,3.75,7.5,137.5
60,1.4,0.8,1,2.4,133.33
3.33,3.33,10,2,16.67,250
0.75,1,1,0.75,1.75,87.5
28.57,0.29,0.71,0.29,2.14,72.86
40,3,0.6,0.8,5.2,129
1.25,1.25,1.25,0.5,5,33.75
0.83,1,0.83,0.67,1.5,58.33
5,1,5,1.6,6,136
0.71,0.14,1.43,1.43,2.57,25.71
120,2,2,5,30,42
38.17,2.25,2.5,1.25,2.5,90
1.67,1.33,3.33,1.33,6.67,166.67
1,0.6,2,1.6,3,76
12.5,10,2.5,5,17.5,200
1,0.75,0.75,1.25,1.5,32.5
6.25,2.5,3.75,3.75,7.5,175
6.25,1.25,1.25,2.5,10,140
4.17,3.33,2.5,1.67,6.67,125
5,0.83,1.67,2.5,6.67,116.67
12.5,1.75,3,1.5,7.5,91.25
5,2.5,3.33,5,8.33,150
12.5,1,2,0.75,1,150
50,1.95,0.75,2.5,2.5,67.5
2.5,2,1,2,3,120
1,3.33,4,2.33,8.33,106.67
3,3,1.6,2,5,150
10,2,2,1,3,108
75,25,5,25,50,25
2,3,4,4,7,90
0.33,0.33,0.83,0.33,0.67,48.33
3.2,5,3.33,1.67,7.5,133.33
1.88,2,0.63,0.63,1.88,16.25
1.43,1.83,2.14,0.71,2.57,35.71
175,7.5,8.75,5,10,105.92
2.5,7.5,12,6,25,300
2,1,3,1,4,40
1.67,3.33,1.67,1.67,3.33,125
4.29,0.57,0.71,0.36,3.57,57.14
160,6,7,6,8,69.47
5,2.5,2,1.5,6.25,90
60,1.02,0.8,1.3,2.5,33
3,0.6,3.6,2,4,220
0.4,0.4,0.6,1,3,40
100,0.83,3.33,1.67,4.17,22.92
0.2,0.6,1.6,0.4,4,44
2.5,1.25,3.75,7.5,10,137.5
7.5,2.5,5,5,10,200
10,2.8,3.6,1.6,7,80
150,2.13,3,5,6.25,90
2.5,2,8.75,1,20,100
3.75,4.25,2,3,6.25,16.25
2.5,3.75,7.5,1.25,17.5,150
2,2,2.4,1.4,7,80
66.67,2.59,1.67,1.67,3.33,108.57
1.25,0.5,1.5,0.5,3.75,92.5
2.5,1.25,5,7.5,10,137.5
3.33,2.22,2.33,3.33,6.67,113.33
42.86,2.14,4.29,5,4.29,85.14
120,6,4.8,3,6,155.33
85.71,8.57,1.43,1.43,4.29,47.94
2.5,1.92,0.5,0.33,1.67,30
0.71,1.64,2.14,3.57,5.71,92.86
2,1,4,1.6,4,40
75,1.33,4,3.33,1.67,80
4,3,2,1,3,80
11.88,1.5,3.13,0.75,3.25,101.25
9,2,2,5,7,297.6
4,4,5,3,4,130
2.5,3.75,3.5,6.25,11.25,125
5,2.5,5,2.5,6.25,100
15,1.5,7.5,2.5,12.5,375
50,1,1,1.2,1.4,59
2,2,4,2,4,140
2.5,0.83,4.17,1.67,6.67,166.67
80,4,5,3,8,120.8
2,1,5,5,4,150
3.75,1.25,2.5,1.25,3.75,87.5
2.86,0.71,3.57,1,4.57,100
5,3.33,2.33,7.33,10,106.67
26.67,3.33,6.67,5,8.33,133.33
300,1.5,10,2,10,2.34
10,1.25,2.5,7.5,6.25,175
20,12.5,5,3.75,16.25,312.5
6,5,4,2,10,220
6,1.87,4,5,5.6,78
2,6,4,8,6,54
1,0.6,1.6,1.2,4.8,52
3.33,1,3.33,1,3.33,40
1,1.14,1.86,0.57,2.14,45.71
3,1.2,0.8,2,3,46
2,1,3,3,5,200
0.71,2.86,0.71,1.43,2.86,42.86
3.75,1.25,2.5,1.5,6,93.75
6.67,1.67,4,1.67,8,200
0.83,0.5,0.83,0.5,2.5,46.67
3.33,2.5,4.17,2.5,5,91.67
7.5,7.15,7.5,12.5,9,365
8.33,2.5,3,1,5.83,91.67
1.67,2.17,2.5,0.83,4.17,33.33
180,1.25,3,0.4,6,73.25
200,1.85,4,5,8.33,132.59
3.33,1.67,4,3.33,8.33,130
1.5,3.75,6,7.5,6,95
3.33,3.33,4,3.33,8,183.33
2,1,2,0.8,6,148
5,3,3,2,4,130
1,1.17,5,0.67,8.33,66.67
1,1.6,4,0.6,12,76
300,7.5,2.5,2.5,15,214.48
1.67,1.17,0.83,0.83,3,66.67
2.5,2,5,2.5,10,150
3.33,10,5,1.67,8.33,133.33
25,0.5,1.25,1.25,2.25,2.5
127.5,8.33,4.17,5,12.5,125
3.27,5,1.6,3,2.2,104
0.2,1.4,0.4,0.6,2.4,56
5,3,7.5,3,10,300
1.56,1.25,0.38,1.25,1.25,7.5
3,3.75,5,3.75,12.5,125
85.71,1.71,1.43,2.14,2.86,51.43
66.67,0.72,1.67,1.67,3.33,2.5
12.5,10,3.75,3.25,12.5,175
316.67,1,10,2,12,1.78
10,4,5,2.5,12.5,150
10,2.5,5,1.5,10,300
4,3,5,2,8,150
50,1.67,3.33,1,5,156.67
1,0.8,1,1,5,140
35.71,0.71,0.43,0.43,1.43,85.71
8.33,0.67,1.67,2.5,5,63.33
1.25,1.5,3.25,1.25,5,175
8.13,3.25,2.5,2.5,7.5,300
1,3.2,2,2,4,100
75.33,3.75,2.5,1.25,2.5,150
3.33,1.33,8.33,4,13.33,180
1.33,1,2.5,1.17,5,66.67
10,10,10,5,10,250
120,0.4,2,4,20,108
1.33,1.33,1.33,1.67,2.33,100
4.17,1.33,4.17,2,5.83,121.67
2.86,0.57,0.86,2.86,5.71,100
5.36,0.86,1.14,0.29,2.29,21.43
7.5,7.5,7.5,7.5,15,330
3.13,1.25,3.75,2.5,3.75,45
125,2.5,1.5,1.25,3.75,84.25
75,0.67,2,2.5,1.17,0.83
2.5,3.75,7.5,1.25,12.5,187.5
0.6,0.8,0.8,0.6,1.6,70
300,1,8.33,2,10,2
110,4,8,1.6,14,10
1.67,0.83,0.83,1.33,3.33,62.5
2.5,8.2,7.5,7.5,20,250
100,1,3,1,5,43
2,4,5.5,2.5,5,62.5
55.56,1.67,3.33,3.89,3.33,62.67
100,6.67,8.33,10,11.67,294.74
1.67,1.67,4.17,2.5,6.67,83.33
3.33,4.17,5,1.33,2.5,83.33
64.29,1.71,1.71,0.71,3.57,42.57
100,6,7,5,6,175.79
6.25,1.25,3,3,6.25,62.5
0.83,3.33,2.5,1.67,2.5,58.33
5,1.17,1.67,3.33,5,100
375,3.65,2.5,5,15,155.56
6.25,1.25,2.5,1.25,6.25,180
3.75,5,5,1.25,6.25,175
150,4.45,2.5,15,15,171.43
2.5,5,10,7.5,22.5,350
300,5,2.5,5,25,180
120,0.6,1.6,2,2,4
3,2,2.4,4,8,100
5,3,2.5,1.5,1.5,92.5
60,4,1,2,6,165.26
2.5,2.5,3.75,2,5,90
1.25,1.5,1.5,1.25,2,237.5
57.14,0.43,2.14,0.43,3.57,81
1.2,1,3,1.2,3.6,64
5,3.33,3.33,2,8.33,166.67
3.33,1.33,1.67,1,5.83,120
10,2.5,5,7.5,10,175
150,3.75,8.75,5,10,189.47
7.5,1.25,2.5,7.5,8.75,150
3,1,2,8,2.4,160
10,3.33,5,5,13.33,216.67
2.5,2.5,5,1.67,11.67,125
0.83,1.17,2.5,0.67,10,66.67
187.5,2.5,12.5,0.5,11.25,25
2,1.4,2,4,6,74.4
3.33,4.67,6.67,5,15,166.67
1.79,1,2.14,2.86,10,64.29
6.67,1,3.33,0.67,8.33,150
185.71,7.14,6.86,2.14,10,93.57
5,2,3.33,1.67,8.33,60
0.83,3.17,2,2.5,5,66.67
300,5,6.25,2.5,10,78.95
10,1.58,3.33,3.33,5,133.33
1.67,5.83,5,5,15,166.67
2.86,0.71,1.14,2.14,3.57,71.43
3.33,6.67,3.33,3.33,6.67,66.67
1.75,1.25,2.5,2,6.25,97.5
0.5,0.83,0.83,0.83,1.67,36.67
3.33,2.5,2.5,1.67,3.33,66.67
1.25,2.5,1.25,1.5,5,55
66.67,0.33,1.67,0.56,2.22,28.06
1.25,2.5,7.5,1.25,15,225
25,2.5,3.75,2.5,7.5,37.5
3.33,1.67,1,5,3.33,90
12.5,25,12.5,12.5,15,250
100,2,1,1,1,161
1.67,0.83,6.67,2.5,6.67,130
